"";"DHIS2 fac. name";"DHIS2 fac. code";"Type";"Location";"Latitude";"Longitude";"lats_facilities";"longs_facilities"
"49";"FINNINGLEY";NA;"FARM CROPS";NA;-25,4825;31,9536;-25,4825;31,9536
"50";"GELUK";NA;"FARM CROPS";NA;-25,5931;31,1372199999999;-25,5931;31,1372199999999
"51";"GREYVAN";NA;NA;NA;-25,3975;31,76639;-25,3975;31,76639
"52";"HECTORSPRUIT";NA;"TOWN";NA;-25,4399;31,679884;-25,4399;31,679884
"53";"LA ROCHELLE";NA;"FARM CROPS";NA;-25,509;31,499;-25,509;31,499
"54";"LEBOMBO";NA;"FARM CROPS";NA;-25,4423;31,9845;-25,4423;31,9845
"55";"LEKKERDRAAI";NA;"FARM CROPS";NA;-25,8447;30,48611;-25,8447;30,48611
"56";"LILLYPOND";NA;"FARM CROPS";NA;-25,4385;31,8943;-25,4385;31,8943
"57";"MAGNESITE 1";NA;NA;NA;-25,5119;31,4569;-25,5119;31,4569
"58";"MALELANE 2";NA;"FARM CROPS";NA;-25,54131;31,52932;-25,54131;31,52932
"59";"DOMER BOEDERY (MARTIENS)";NA;"FARM CROPS";NA;-25,395387;31,81751;-25,395387;31,81751
"60";"MARULA LANDGOED";NA;"FARM CROPS";NA;-25,55;30,68333;-25,55;30,68333
"61";"MASGOBE";NA;"FARM CROPS";NA;-25,5289;31,7725;-25,5289;31,7725
"62";"ZWELISHA";NA;"VILLAGE";NA;-25,3798;31,168121;-25,3798;31,168121
"63";"NGWENYA LODGE";NA;"FARM CROPS";NA;-25,3795;31,8551;-25,3795;31,8551
"64";"OOMPIE 1";NA;"FARM CROPS";NA;-25,51027;31,85052;-25,51027;31,85052
"65";"ORLANDO";NA;"FARM CROPS";NA;-25,4229;31,928505;-25,4229;31,928505
"66";"ROOIGRAS";NA;"FARM CROPS";NA;-25,4958;31,88778;-25,4958;31,88778
"67";"ROSEMARYN";NA;"FARM CROPS";NA;-25,390611;31,881873;-25,390611;31,881873
"68";"SIERAAD";NA;"FARM CROPS";NA;-25,5161;31,84722;-25,5161;31,84722
"69";"SMITH FARM";NA;"FARM CROPS";NA;-25,490213;31,957226;-25,490213;31,957226
"70";"STEYN";NA;"FARM CROPS";NA;-25,381148;31,834144;-25,381148;31,834144
"71";"STENTOR";NA;"FARM CROPS";NA;-25,538;31,3559;-25,538;31,3559
"72";"TENBOSCH(UMBHABA)";NA;"FARM CROPS";NA;-25,4233;31,821944;-25,4233;31,821944
"73";"TOMAHAWK";NA;"FARM CROPS";NA;-25,6214;31,59611;-25,6214;31,59611
"74";"TSB 3(TENBOSCH)";NA;"FARM CROPS";NA;-25,3877;31,9452;-25,3877;31,9452
"75";"Tulloh farm";NA;"FARM CROPS";NA;-25,453593;31,65342;-25,453593;31,65342
"76";"TURFBULT";NA;"FARM CROPS";NA;-25,4816;31,8791;-25,4816;31,8791
"77";"WELGELEGEN";NA;"FARM CROPS";NA;-25,500317;31,941317;-25,500317;31,941317
"78";"WINKELHAAK";NA;"FARM CROPS";NA;-25,5404;31,9217;-25,5404;31,9217
